post_title,post_content,post_status,featured_image_url,slug,source_html
Мельгунова Ольга,"Закончила МВХПУ им. С. Г. Строганова, отделение графический дизайн. Член Московского Союза Художников, монументальной секции. Участник художественных и декоративно-прикладных выставок. В том числе IX Всероссийской художественной выставки (Манеж, Москва), Всероссийской выставки «Имени твоему» (ЦДХ, Москва), выставки Культурное наследие (Лувр, Париж), неоднократный участник выставок Арх Москва. Премия за витражный диптих «Италия» (Артмебель, Сокольники, Москва, 2003 г.) Работы находятся в частных собраниях России, Греции, Германии, Швейцарии.",publish,,spec-1,komanda/spec-1.html
Калиничева Мария,"Закончила МВХПУ им. С. Г. Строганова, отделение графический дизайн. Член Московского Союза Художников, монументальной секции. Участник художественных и декоративно-прикладных выставок. Художник отдает предпочтение технике мозаики, ее работы отличаются прекрасными декоративными качествами.",publish,,spec-2,komanda/spec-2.html
Атаева Елена,"Закончила МВХПУ им. С. Г. Строганова, отделение графический дизайн. Художник имеет большой опыт работы в иллюстрации, прикладной графике, дизайне интерьера.",publish,,spec-3,komanda/spec-3.html
Ворожева Ксения,"Закончила МПГУ им. В. И. Ленина, художественно-графический факультет. Постоянный участник декоративно-прикладных выставок. В том числе выставки «Истоки» (Галерея «Листок», Москва), международной выставке-продаже «Формула рукоделия» (КВЦ «Сокольники», Москва). Постоянный участник таких выставок как «Другие вещи» и «Райские яблоки». Художник работает преимущественно в технике фьюзинг.",publish,,spec-4,komanda/spec-4.html
Кочубей Сергей,Закончил АХПУ им. Васнецова. Художник имеет большой опыт работы с художественным стеклом.,publish,,spec-5,komanda/spec-5.html
